step,T_k,L_k,eta_mean,eta_std,A_mean(k->k+1),A_std(k->k+1),b_eff,bt_eff
0,4,4,346.89985149855227,20.752720150701577,,,,
1,2,2,66.28945440540728,11.524624485780318,0.0005614255432077489,0.00013599065034574208,2,2
2,1,1,1.3395988814963269,0.6751159768323591,0.0003441536706048856,0.0002491857610503151,2,2
3,1,1,1.1671239126586848,0.6856923060572064,1.6130235685890044,1.939360074725227,1,1
4,1,1,1.1127294473874216,0.8039880446147245,1.8098237957211838,2.1562751603536303,1,1
